Starting training from step 0 | target 150000 steps
step    116 | loss 61.6945 | lr 1.72e-05 | tokens    7,602,176 | tok/s 15,073
step     41 | loss 347.5388 | lr 6.00e-06 | tokens    2,686,976 | tok/s 15,900
step    117 | loss 61.0646 | lr 1.74e-05 | tokens    7,667,712 | tok/s 15,104
step     42 | loss 337.6687 | lr 6.15e-06 | tokens    2,752,512 | tok/s 15,794
step    118 | loss 61.3208 | lr 1.75e-05 | tokens    7,733,248 | tok/s 15,057
step     43 | loss 327.8309 | lr 6.30e-06 | tokens    2,818,048 | tok/s 15,751
step    119 | loss 60.4786 | lr 1.77e-05 | tokens    7,798,784 | tok/s 15,155
step     44 | loss 317.2779 | lr 6.45e-06 | tokens    2,883,584 | tok/s 15,845
step    120 | loss 59.6954 | lr 1.78e-05 | tokens    7,864,320 | tok/s 15,071
step     45 | loss 307.1790 | lr 6.60e-06 | tokens    2,949,120 | tok/s 15,863
step    121 | loss 59.3052 | lr 1.80e-05 | tokens    7,929,856 | tok/s 15,067
step     46 | loss 298.4431 | lr 6.75e-06 | tokens    3,014,656 | tok/s 15,848
step    122 | loss 58.3496 | lr 1.81e-05 | tokens    7,995,392 | tok/s 15,022
step     47 | loss 288.2534 | lr 6.90e-06 | tokens    3,080,192 | tok/s 15,834
step    123 | loss 58.9524 | lr 1.83e-05 | tokens    8,060,928 | tok/s 15,070
step     48 | loss 279.6029 | lr 7.05e-06 | tokens    3,145,728 | tok/s 15,864
step    124 | loss 57.3384 | lr 1.84e-05 | tokens    8,126,464 | tok/s 15,085
step     49 | loss 269.2639 | lr 7.20e-06 | tokens    3,211,264 | tok/s 15,817
step    125 | loss 57.9344 | lr 1.86e-05 | tokens    8,192,000 | tok/s 15,078
step     50 | loss 260.6452 | lr 7.35e-06 | tokens    3,276,800 | tok/s 15,845
step     51 | loss 251.8846 | lr 7.50e-06 | tokens    3,342,336 | tok/s 15,811
step    126 | loss 56.9132 | lr 1.87e-05 | tokens    8,257,536 | tok/s 15,005
step     52 | loss 242.6578 | lr 7.65e-06 | tokens    3,407,872 | tok/s 15,837
step    127 | loss 56.6162 | lr 1.89e-05 | tokens    8,323,072 | tok/s 15,003
step     53 | loss 233.9362 | lr 7.80e-06 | tokens    3,473,408 | tok/s 15,934
step    128 | loss 54.8490 | lr 1.90e-05 | tokens    8,388,608 | tok/s 15,186
step     54 | loss 225.2985 | lr 7.95e-06 | tokens    3,538,944 | tok/s 15,894
step    129 | loss 55.5727 | lr 1.92e-05 | tokens    8,454,144 | tok/s 15,082
step     55 | loss 218.7343 | lr 8.10e-06 | tokens    3,604,480 | tok/s 15,850
step    130 | loss 55.4264 | lr 1.93e-05 | tokens    8,519,680 | tok/s 15,074
step     56 | loss 209.5212 | lr 8.25e-06 | tokens    3,670,016 | tok/s 15,822
step    131 | loss 54.9688 | lr 1.95e-05 | tokens    8,585,216 | tok/s 15,118
step     57 | loss 201.5237 | lr 8.40e-06 | tokens    3,735,552 | tok/s 15,895
step    132 | loss 54.4899 | lr 1.96e-05 | tokens    8,650,752 | tok/s 15,125
step     58 | loss 193.8275 | lr 8.55e-06 | tokens    3,801,088 | tok/s 15,875
step    133 | loss 53.4265 | lr 1.98e-05 | tokens    8,716,288 | tok/s 15,164
step     59 | loss 185.8646 | lr 8.70e-06 | tokens    3,866,624 | tok/s 15,864
step    134 | loss 53.9649 | lr 2.00e-05 | tokens    8,781,824 | tok/s 15,150
step     60 | loss 179.2338 | lr 8.85e-06 | tokens    3,932,160 | tok/s 15,942
step    135 | loss 53.2546 | lr 2.01e-05 | tokens    8,847,360 | tok/s 15,171
step     61 | loss 173.1567 | lr 9.00e-06 | tokens    3,997,696 | tok/s 15,932
